pH,Mg Bound (Initial),Mg Initial,Ca Bound (Initial),Ca Initial,C(4) Bound (Initial),C(4) Initial,Cl Bound (Initial),Cl Initial,cal_ini_mol,dol_ini_mol,C(4) Final,Ca Final,Mg Final,Cl Final,pH,Calcite,Dolomite
6.353155661,0.001483118,6.71E-08,9.99E-09,7.54E-07,3.72E-05,0.000582539,0.00607246,0.075899191,0.122,1.22E-06,0.002901436,0.002863061,0.001484331,0.006072433,7.241918456,0.119138156,0
6.213475482,0.006715174,6.36E-08,9.69E-09,2.06E-07,1.19E-05,0.00396442,0.004366462,0.046345716,0.122,1.22E-06,1.17E-05,0.002491126,0.004223774,0.004366462,11.74680235,0.117017484,0.00249262
6.953543193,0.008981259,1.71E-07,5.52E-09,4.72E-07,2.94E-05,0.005885894,0.002820487,0.017083685,0.122,1.22E-06,1.16E-05,0.002801444,0.006161956,0.002820487,11.95896097,0.116379259,0.002820523
7.979798864,0.005254533,1.97E-07,6.64E-09,9.35E-07,9.36E-05,0.006127136,0.008586778,0.019066065,0.122,1.22E-06,1.16E-05,0.002679791,0.002492746,0.008586777,11.01347815,0.116558429,0.002763007
7.887654417,0.001564834,2.16E-08,9.64E-09,7.29E-07,8.50E-05,0.00477169,0.00389174,0.097749121,0.122,1.22E-06,0.000926317,0.001377864,0.001028323,0.003891745,7.960484464,0.120085635,0.000537732
6.107594889,0.00375261,1.98E-07,3.91E-09,7.68E-07,7.09E-05,0.000720723,0.006589697,0.031626007,0.122,1.22E-06,1.29E-05,0.002007919,0.001686671,0.006589696,10.69894231,0.117926145,0.00206716
6.500782602,0.005051418,1.65E-07,2.11E-10,7.46E-07,9.55E-05,0.003733258,0.007152455,0.077214451,0.122,1.22E-06,1.17E-05,0.002421391,0.002546162,0.007152454,11.22930151,0.117073353,0.002506477
7.178648066,0.006481722,1.39E-08,3.62E-09,4.73E-07,1.13E-05,0.006331201,0.001377053,0.079403259,0.122,1.22E-06,1.21E-05,0.002153141,0.004329447,0.001377053,11.87386267,0.117694587,0.002153496
7.940116639,0.002446357,1.14E-07,7.62E-09,8.18E-07,3.61E-05,0.007171524,0.003735043,0.009189563,0.122,1.22E-06,1.42E-05,0.001274619,0.00114992,0.003735042,10.89398637,0.119428952,0.001297657
7.350066633,0.005184931,1.61E-07,9.18E-09,8.49E-07,8.21E-06,0.000359434,0.009951995,0.039706482,0.122,1.22E-06,1.29E-05,0.002905774,0.002283807,0.009951995,10.36720673,0.116193111,0.002902344
